Jan 25th 2026:  LeagueLeg Piece Corps won by 0 Wickets (02/06/2026)
                     Board of Peace Vs Leg Piece Corps



,,,Board of Peace Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Deven Samant,b,,Raviraj M,7,8,1,0
Vln Vasudevan,ct,Raviraj M,Parag V,4,9,0,0
Prabh Singh,ct,Shishir J,Raman V,12,17,0,1
Sathish Natarajan,b,,Shishir J,11,16,2,0
Vivek Baveja,b,,Kamal B,9,18,0,0
Rohit Suri,ctw,Ravi K,Ritesh C,1,10,0,0
Kumar Sundararaman,ct,Ritesh C,Raviraj M,18,20,2,0
Sudhi Vijayakumar,ct,Raviraj M,Kamal B,7,15,0,0
Karthik Jaikumar,b,,Parag V,4,7,0,0
Sanjay Moyya,b,,Chidanand S,0,1,0,0
Sampath Sathish Friend,st,Ravi K,Subbu K,19,13,3,0
Tbd1,,,,0,0,0,0

	
		Byes: 1 , Leg Byes: 0, Wickets : 11  Wides : 8, No Balls: 2 Penalty : 0,103,22.0

,,,Leg Piece Corps Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Subbu Kuchibhotla,2.0,0,16,1,0,1,0,5
Raviraj Murdeshwar,2.0,0,12,2,0,0,0,3
Kamal Bhatia,3.0,0,11,2,2,0,0,13
Parag Vaidya,3.0,0,17,2,3,0,0,10
Raman Venkatraman,3.0,0,10,1,1,0,0,12
Ritesh Chhajer,3.0,0,10,1,1,0,0,13
Shishir Jain,3.0,0,12,1,0,1,0,10
Chidanand Sekar,3.0,0,14,1,1,0,0,9

Total, 22.0 ,0,102,11,8,2,0,75

Board of Peace Fall of Wickets
                      
Deven S, 1-11 ,  Over 1.5
VLN V, 2-17 ,  Over 3.6
Prabh S, 3-33 ,  Over 6.6
Sathish , 4-40 ,  Over 8.5
Rohit S, 5-47 ,  Over 11.4
Vivek B, 5-60Retired ,  Over 14.0
Kumar S, 5-63Retired ,  Over 16.0
Karthik , 6-72 ,  Over 17.6
Sanjay M, 7-73 ,  Over 18.2
Sudhi V, 8-80 ,  Over 19.1
Vivek B, 9-80 ,  Over 19.2
Kumar S, 10-91 ,  Over 20.6
Sampath , 11-103 ,  Over 21.6


,,,Leg Piece Corps Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Ramu,ct,Rohit S,Karthik J,6,9,0,0
Ravi Krishnaswamy,ro,Prabh S,Rohit S,0,0,0,0
Raman Venkatraman,b,,Rohit S,0,1,0,0
Shishir Jain,b,,Sudhi V,18,26,2,0
Ramki Ramki,ct,Prabh S,Kumar S,16,18,2,0
Kamal Bhatia,ct,Sanjay M,VLN V,10,17,0,0
Chidanand Sekar,ctw,Sanjay M,VLN V,12,12,1,0
Ritesh Chhajer,ct,Sampath S,VLN V,2,9,0,0
Parag Vaidya,ctw,Sanjay M,Prabh S,6,9,1,0
Raviraj Murdeshwar,,,,20,16,1,1
Subbu Kuchibhotla,b,,VLN V,5,10,1,0
Tbd2,,,,0,0,0,0

Byes: 4 , Leg Byes: 0, Wickets : 10  Wides : 8, No Balls: 2 Penalty : 0,109,20.5

,,,Board of Peace Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Rohit Suri,3.0,0,15,1,1,0,0,8
Karthik Jaikumar,3.0,1,14,1,0,0,0,11
Kumar Sundararaman,3.0,0,14,1,0,0,0,8
Sampath Sathish Friend,3.0,0,19,0,1,0,0,10
Sudhi Vijayakumar,3.0,0,12,1,0,1,0,13
Prabh Singh,3.0,0,14,1,6,0,0,12
Vln Vasudevan,2.5,0,17,4,0,1,0,10

Total, 20.5 ,1,105,10,8,2,0,72

Leg Piece Corps Fall of wickets
                      
Ravi K, 1-4 ,  Over0.3
Raman V, 2-7 ,  Over0.6
Ramu, 3-7 ,  Over1.4
Ramki R, 4-40 ,  Over8.3
Shishir , 5-42 ,  Over9.2
Chidanan, 6-66 ,  Over13.3
Kamal B, 7-70 ,  Over15.1
Ritesh C, 8-71 ,  Over15.3
Parag V, 9-83 ,  Over17.4
Subbu K, 10-103 ,  Over20.3
