Mar 22nd 2026:  LeagueEpic Blunder won by 21 Runs (03/21/2026)
                     Epic Blunder Vs Epic Fury



,,,Epic Blunder Batting

	BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Vivek Baveja,ro,VLN V,,2,4,0,0
Vinod Baya,rt,,,8,10,0,0
Rohit Suri,rt,,,38,28,5,1
Raj Raj,rt,,,54,24,4,3
Karthik Jaikumar,rt,,,4,9,0,0
Ravi Poruri,ct,Deven S,Ritesh C,3,4,0,0
Sateesh Jamakhandi,,,,10,12,1,0
Vijay Pinni,ro,Sampath S,,24,14,2,1
Suriya Gurumurthy,st,Sudhi V,Kumar S,11,6,1,1
Tbd2,,,,0,0,0,0

	
		Byes: 5 , Leg Byes: 0, Wickets : 0  Wides : 7, No Balls: 3 Penalty : 0,169,18.0

,,,Epic Fury Bowling 
													
	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Subbu Kuchibhotla,1.0,0,3,0,0,0,0,3
Deven Samant,3.0,0,23,0,0,0,0,5
Kumar Sundararaman,3.0,0,30,1,1,1,0,8
Vln Vasudevan,2.0,0,26,0,0,0,0,3
Ritesh Chhajer,3.0,0,16,1,2,0,0,12
Raman Venkatraman,3.0,0,34,0,2,0,0,6
Sampath Sathish Friend,3.0,0,32,0,2,2,0,5

Total, 18.0 ,0,164,4,7,3,0,42

Epic Blunder Fall of Wickets
                      
Vivek B, 1-3 ,  Over 0.6
Vinod B, 1-38Retired ,  Over 6.0
Rohit S, 1-60Retired ,  Over 8.0
Karthik , 1-87Retired ,  Over 11.0
Raj R, 1-116Retired ,  Over 13.0
Ravi P, 2-116 ,  Over 13.1
Sateesh , 2-135Retired ,  Over 16.0
Suriya G, 3-148 ,  Over 16.6
Vijay P, 4-169 ,  Over 17.6


,,,Epic Fury Batting
                            
BatsMan, How Out, Fielder, Bowler, Runs, Balls, Fours,Sixers
	Deven Samant,rt,,,6,12,0,0
Anubhav Sharma,rt,,,35,25,1,3
Ritesh Chhajer,,,,89,49,8,4
Sudhi Vijayakumar,ct,Anubhav S,Rohit S,3,7,0,0
Vln Vasudevan,ct,Karthik J,Vijay P,0,2,0,0
Sampath Sathish Friend,ct,Raj R,Rohit S,1,4,0,0
Kumar Sundararaman,,,,7,9,1,0
Raman Venkatraman,,,,0,0,0,0
Subbu Kuchibhotla,,,,0,0,0,0
Ravi Krishnaswamy,,,,0,0,0,0
Tbd1,,,,0,0,0,0

Byes: 1 , Leg Byes: 0, Wickets : 0  Wides : 6, No Balls: 0 Penalty : 0,148,18.0

,,,Epic Blunder Bowling

	Bowler,Overs,Madiens,Runs,Wickets,Wides,No Balls,Hattricks,Dot Balls
	Vivek Baveja,3.0,0,16,0,3,0,0,11
Sateesh Jamakhandi,3.0,0,20,0,1,0,0,7
Karthik Jaikumar,3.0,0,35,0,0,0,0,6
Raj Raj,2.0,0,33,0,0,0,0,2
Rohit Suri,3.0,0,9,2,1,0,0,10
Vijay Pinni,3.0,0,19,1,1,0,0,5
Suriya Gurumurthy,1.0,0,15,0,0,0,0,2

Total, 18.0 ,0,147,3,6,0,0,43

Epic Fury Fall of wickets
                      
Deven S, 0-22Retired ,  Over4.0
Anubhav , 0-61Retired ,  Over8.0
Sudhi V, 1-77 ,  Over10.6
VLN V, 2-91 ,  Over12.2
Sampath , 3-115 ,  Over14.1
